Заболели;Умерли;Вылечились;Активные случаи
США;47701872;771013;0;-1
Индия;34510413;465662;0;34044751
Бразилия;22012150;612587;0;21399563
Великобритания;9821730;143969;0;-1
Россия;9331158;264095;8024930;1042133
Турция;8552347;74847;0;8477500
Франция;7232713;116209;0;-1
Иран;6073098;128852;0;5944246
Германия;5374446;99067;0;5275379
Аргентина;5314702;116374;0;5198328
Испания;5080663;87810;0;-1
Колумбия;5045412;128054;0;4917358
Италия;4915981;133131;0;4782850
Индонезия;4253098;143728;0;4109370
Мексика;3858831;292145;0;3566686
Украина;3481347;85847;0;3395500
Польша;3326464;80781;0;3245683
ЮАР;2929175;89572;0;2839603
Филиппины;2824499;46903;0;2777596
Малайзия;2581747;29978;0;2551769
Нидерланды;2424341;18976;0;-1
Перу;2222879;200833;0;2022046
Ирак;2073835;23642;0;2050193
Таиланд;2057575;20358;0;2037217
Чехия;1980849;32005;0;1948844
Канада;1772484;29543;0;1742941
Румыния;1760765;54838;0;1705927
Чили;1740496;38094;0;1702402
Япония;1725715;18343;0;1707372
Бельгия;1581500;26568;0;-1
Бангладеш;1573889;27946;0;1545943
Израиль;1340084;8154;0;1331930
Пакистан;1281872;28659;0;1253213
Сербия;1230976;11166;0;-1
Швеция;1188735;15110;0;-1
Португалия;1119784;18310;0;1101474
Вьетнам;1084625;23685;0;1060940
Словакия;1064680;13818;0;1050862
Казахстан;1045783;17625;0;1028158
Австрия;1042571;11993;0;1030578
Венгрия;998488;32780;0;965708
Куба;960472;8293;0;952179
Марокко;948830;14761;0;934069
Швейцария;941218;11382;0;929836
Иордания;911270;11347;0;899923
Греция;874812;17237;0;857575
Непал;818787;11495;0;807292
Грузия;808889;11422;0;797467
ОАЭ;741370;2144;0;739226
Тунис;716183;25340;0;690843
Болгария;672555;27180;0;645375
Ливан;658467;8635;0;649832
Белоруссия;638402;4932;0;633470
Гватемала;613713;15837;0;597876
Азербайджан;572085;7599;0;564486
Хорватия;566118;10243;0;555875
Коста-Рика;565548;7251;0;558297
Шри-Ланка;555929;14108;0;541821
Саудовская Аравия;549443;8823;0;540620
Боливия;528407;19051;0;509356
Ирландия;524783;5609;0;519174
Эквадор;523847;33121;0;490726
Мьянма ;517395;19011;0;498384
Панама;475835;7352;0;468483
Парагвай;462198;16354;0;445844
Палестинские территории;457950;4770;0;453180
Литва;454199;6494;0;447705
Дания;446676;2807;0;443869
Венесуэла;424441;5073;0;419368
Южная Корея;415425;3274;0;412151
Кувейт;413120;2464;0;410656
Доминиканская Республика;401914;4186;0;397728
Словения;398439;5044;0;393395
Уругвай;397712;6112;0;391600
Гондурас;377420;10387;0;367033
Монголия;377387;1940;0;375447
Эфиопия;370045;6672;0;363373
Ливия;367218;5365;0;361853
Молдова;357831;8799;0;349032
Египет;349513;19872;0;329641
Армения;333583;7253;0;326330
Оман;304466;4113;0;300353
Бахрейн;277348;1394;0;275954
Босния и Герцеговина;268572;12219;0;256353
Кения;254688;5325;0;249363
Сингапур;250518;654;0;249864
Латвия;245623;3940;0;241683
Катар;241969;611;0;241358
Норвегия;241441;999;0;240442
Эстония;216544;1728;0;214816
Нигерия;213532;2973;0;210559
Северная Македония;211831;7418;0;204413
Замбия;210057;3667;0;206390
Алжир;208839;6017;0;202822
Австралия;198442;1944;0;196498
Албания;195988;3035;0;192953
Ботсвана;194445;2416;0;192029
Узбекистан;191122;1373;0;189749
Киргизия;182780;2720;0;180060
Финляндия;174823;1249;0;173574
Косово;160999;2982;0;158017
Афганистан;156864;7363;0;149501
Черногория;154464;2239;0;152225
Мозамбик;151488;1936;0;149552
Зимбабве;133615;4699;0;128916
Гана;130727;1207;0;129520
Кипр;129888;590;0;129298
Намибия;129076;3567;0;125509
Уганда;127128;3256;0;123872
Камбоджа;119826;2896;0;116930
Сальвадор;118041;3751;0;114290
Китай;110943;4849;0;106094
Камерун;106190;1770;0;104420
Руанда;100207;1340;0;98867
Ямайка;90630;2356;0;88274
Мальдивы;90601;248;0;90353
Люксембург;85960;862;0;85098
Сенегал;73965;1883;0;72082
Тринидад и Тобаго;65485;1947;0;63538
